Rank,Country,Port_Name,TEU_2020_M,TEU_2021_M,TEU_2022_M,TEU_2023_M,TEU_2024_M_est,Monthly_Local_Wage_USD,Median_Home_Value_USD,Growth_21_20,Growth_22_21,Growth_23_22,Growth_24_23,CAGR,Growth_21_20,Growth_22_21,Growth_23_22,Growth_24_22,TEU_CAGR_2020_2024_%,Growth_21_M,Growth_22_M,Growth_23_M,Growth__est,Cluster,PCA1,PCA2,Outlier,TEU_Trend_Slope,Trend_Type
12,Malaysia,Port Klang,13.24,13.72,13.22,14.06,14.83,650,200000.0,0.03625377643504535,-0.03644314868804664,0.06354009077155823,0.054765291607396835,0.02875815637496726,3.625377643504535,-3.6443148688046643,6.354009077155823,5.476529160739683,2.875815637496726,0.03625377643504535,-0.03644314868804664,0.06354009077155823,0.054765291607396835,0,1.4748587957393258,-1.018687520775576,Inlier,0.35199999999991793,Flat
13,China,Xiamen,11.41,12.05,12.43,12.55,12.6,1400,250000.0,0.05609114811568804,0.031535269709543484,0.009654062751407965,0.003984063745019835,0.025111782273566696,5.609114811568804,3.1535269709543483,0.9654062751407965,0.3984063745019835,2.5111782273566696,0.05609114811568804,0.031535269709543484,0.009654062751407965,0.003984063745019835,0,1.164395046359568,-0.4352553700676754,Inlier,0.2879999999999896,Flat
14,Belgium,Antwerp–Bruges,12.03,12.02,13.5,12.5,13.5,3900,400000.0,-0.0008312551953449532,0.12312811980033282,-0.07407407407407407,0.08,0.029240898584812935,-0.08312551953449532,12.312811980033283,-7.4074074074074066,8.0,2.9240898584812935,-0.0008312551953449532,0.12312811980033282,-0.07407407407407407,0.08,2,1.5833773936588753,0.9952701014010636,Inlier,0.3419999999999837,Flat
15,Taiwan,Kaohsiung,9.62,9.86,9.49,8.83,8.5,1600,300000.0,0.024948024948024974,-0.03752535496957396,-0.0695468914646997,-0.03737259343148359,-0.03047064406109834,2.494802494802497,-3.752535496957396,-6.95468914646997,-3.737259343148359,-3.047064406109834,0.024948024948024974,-0.03752535496957396,-0.0695468914646997,-0.03737259343148359,0,0.5434157178626751,0.4068136210981931,Inlier,-0.3269999999999252,Declining
16,China,Dalian,5.11,3.67,4.46,5.03,5.0,800,150000.0,-0.2818003913894325,0.21525885558583108,0.1278026905829597,-0.0059642147117296715,-0.005425600917074003,-28.180039138943254,21.52588555858311,12.780269058295971,-0.5964214711729672,-0.5425600917074003,-0.2818003913894325,0.21525885558583108,0.1278026905829597,-0.0059642147117296715,0,-0.8443221468842593,-0.24949524436020168,Inlier,0.11399999999992519,Flat
17,USA,Los Angeles,9.21,10.68,9.91,8.63,10.3,5000,679220.0,0.1596091205211725,-0.07209737827715353,-0.12916246215943486,0.19351100811123984,0.02835816022487414,15.960912052117248,-7.209737827715353,-12.916246215943486,19.351100811123985,2.835816022487414,0.1596091205211725,-0.07209737827715353,-0.12916246215943486,0.19351100811123984,2,1.13833234712414,2.324585102518829,Inlier,0.013000000000037185,Flat
18,Germany,Hamburg,8.54,8.72,8.26,7.7,7.8,3200,350000.0,0.021077283372365516,-0.052752293577981745,-0.06779661016949148,0.012987012987012941,-0.022404524284621807,2.1077283372365514,-5.275229357798175,-6.779661016949149,1.298701298701294,-2.2404524284621807,0.021077283372365516,-0.052752293577981745,-0.06779661016949148,0.012987012987012941,2,0.4158442861864604,1.2525038833441917,Inlier,-0.24999999999995415,Declining
19,Malaysia,Tanjung Pelepas,9.8,11.2,10.51,10.48,11.0,750,150000.0,0.1428571428571427,-0.06160714285714282,-0.002854424357754459,0.04961832061068698,0.029299240613706035,14.28571428571427,-6.160714285714282,-0.28544243577544587,4.961832061068698,2.9299240613706035,0.1428571428571427,-0.06160714285714282,-0.002854424357754459,0.04961832061068698,0,0.62431491251029,-0.899941304985183,Inlier,0.16800000000000878,Flat
20,Thailand,Laem Chabang,7.55,8.34,8.74,8.87,9.2,600,120000.0,0.10463576158940398,0.04796163069544369,0.014874141876430092,0.037204058624577235,0.050655211174906345,10.463576158940398,4.796163069544368,1.4874141876430091,3.7204058624577234,5.0655211174906345,0.10463576158940398,0.04796163069544369,0.014874141876430092,0.037204058624577235,0,0.0370773488579406,-1.0967688133672797,Inlier,0.382999999999975,Flat
22,USA,Long Beach,8.11,9.38,9.13,8.02,9.6,5000,680000.0,0.1565967940813812,-0.026652452025586353,-0.12157721796276025,0.19700748129675813,0.04306793443771939,15.65967940813812,-2.6652452025586353,-12.157721796276025,19.700748129675812,4.306793443771939,0.1565967940813812,-0.026652452025586353,-0.12157721796276025,0.19700748129675813,2,0.8907063560788887,2.2553925635998278,Inlier,0.1620000000000146,Flat
