Rank,Country,Port_Name,TEU_2020_M,TEU_2021_M,TEU_2022_M,TEU_2023_M,TEU_2024_M_est,Monthly_Local_Wage_USD,Median_Home_Value_USD,Growth_21_20,Growth_22_21,Growth_23_22,Growth_24_23,CAGR,Growth_21_20,Growth_22_21,Growth_23_22,Growth_24_22,TEU_CAGR_2020_2024_%,Growth_21_M,Growth_22_M,Growth_23_M,Growth__est,Cluster,PCA1,PCA2,Outlier,TEU_Trend_Slope,Trend_Type
73,Malta,Marsaxlokk,2.444,2.968,2.89,2.85,2.9,1700,330000.0,0.21440261865793783,-0.02628032345013472,-0.013840830449827002,0.017543859649122744,0.04369643271975776,21.440261865793783,-2.6280323450134717,-1.3840830449827002,1.7543859649122744,4.369643271975776,0.21440261865793783,-0.02628032345013472,-0.013840830449827002,0.017543859649122744,0,-1.1611681160927174,0.2829152207304553,Inlier,0.07940000000000885,Flat
74,Turkey,Ambarli,2.888,3.105,2.867,2.9,3.0,800,100000.0,0.07513850415512469,-0.07665056360708535,0.01151028950122076,0.03448275862068969,0.009557399922755172,7.513850415512469,-7.665056360708535,1.1510289501220758,3.448275862068969,0.9557399922755172,0.07513850415512469,-0.07665056360708535,0.01151028950122076,0.03448275862068969,0,-1.3345733781472708,-0.38335364614837897,Inlier,0.0019000000000005898,Flat
75,China,Jiaxing,1.956,2.222,2.854,3.0,3.3,1100,150000.0,0.1359918200408998,0.2844284428442845,0.051156271899088966,0.09999999999999994,0.1396887789512944,13.599182004089979,28.442844284428446,5.1156271899088965,9.999999999999993,13.968877895129438,0.1359918200408998,0.2844284428442845,0.051156271899088966,0.09999999999999994,3,-1.5007772966452477,-1.1837395995470896,Inlier,0.3465999999999636,Flat
76,Australia,Sydney,2.396,2.402,2.844,2.9,3.0,4400,750000.0,0.0025041736227046025,0.18401332223147365,0.019690576652601988,0.03448275862068969,0.057812294303269285,0.25041736227046024,18.401332223147364,1.9690576652601988,3.448275862068969,5.7812294303269285,0.0025041736227046025,0.18401332223147365,0.019690576652601988,0.03448275862068969,2,-0.6744582087652543,2.3717024415628702,Inlier,0.17059999999998096,Flat
77,USA,Charleston,2.31,2.751,2.792,2.805,2.9,4200,330000.0,0.19090909090909083,0.014903671392220983,0.0046561604584528455,0.03386809269162201,0.05851375161525674,19.090909090909083,1.4903671392220983,0.46561604584528454,3.3868092691622014,5.851375161525674,0.19090909090909083,0.014903671392220983,0.0046561604584528455,0.03386809269162201,3,-1.0297338954834108,1.3193043976120933,Inlier,0.12339999999999923,Flat
78,Japan,Nagoya,2.471,2.824,2.681,2.7,2.75,2800,300000.0,0.14285714285714277,-0.05063739376770531,0.007086907870197735,0.01851851851851845,0.027105339884575086,14.285714285714276,-5.063739376770531,0.7086907870197735,1.8518518518518452,2.7105339884575086,0.14285714285714277,-0.05063739376770531,0.007086907870197735,0.01851851851851845,0,-1.121104768168203,0.8650892334550302,Inlier,0.0434000000000039,Flat
79,South Africa,Durban,2.595,2.662,2.575,3.0,3.1,1190,80000.0,0.025818882466281202,-0.03268219383921854,0.16504854368932032,0.03333333333333336,0.045456778702021694,2.5818882466281203,-3.268219383921854,16.50485436893203,3.333333333333336,4.545677870202169,0.025818882466281202,-0.03268219383921854,0.16504854368932032,0.03333333333333336,0,-1.4093224873117465,-0.5352927413532691,Inlier,0.13479999999996803,Flat
80,Italy,Genoa,2.499,2.67,2.533,2.5,2.55,1800,300000.0,0.06842737094837928,-0.05131086142322098,-0.013028030003947855,0.019999999999999928,0.0050634529979740606,6.842737094837928,-5.131086142322098,-1.3028030003947855,1.9999999999999927,0.5063452997974061,0.06842737094837928,-0.05131086142322098,-0.013028030003947855,0.019999999999999928,0,-1.1989664141436038,0.5927601924491669,Inlier,-0.006799999999995079,Declining
81,Peru,Callao,2.251,2.486,2.461,2.703,2.8,500,120000.0,0.10439804531319428,-0.010056315366050022,0.09833401056481106,0.03588605253422123,0.0560771209437354,10.439804531319428,-1.0056315366050022,9.833401056481106,3.588605253422123,5.60771209437354,0.10439804531319428,-0.010056315366050022,0.09833401056481106,0.03588605253422123,0,-1.4997007214662992,-0.8346168191777424,Inlier,0.13149999999998177,Flat
82,Japan,Osaka,2.352,2.426,2.391,2.4,2.45,2700,250000.0,0.03146258503401373,-0.014427040395713166,0.003764115432873232,0.020833333333333447,0.01025775233831161,3.146258503401373,-1.4427040395713167,0.3764115432873232,2.0833333333333446,1.025775233831161,0.03146258503401373,-0.014427040395713166,0.003764115432873232,0.020833333333333447,0,-1.2206014780247056,0.8595000323919072,Inlier,0.016999999999998308,Flat
83,USA,Oakland,2.461,2.449,2.338,2.1,2.2,5000,1000000.0,-0.004876066639577412,-0.04532462229481412,-0.10179640718562874,0.04761904761904766,-0.027638473432164745,-0.4876066639577412,-4.532462229481412,-10.179640718562874,4.761904761904765,-2.7638473432164745,-0.004876066639577412,-0.04532462229481412,-0.10179640718562874,0.04761904761904766,2,-0.42825870526308896,3.9429092038494673,Inlier,-0.08709999999998652,Declining
84,China,Nantong,1.911,2.027,2.24,2.5,2.7,800,100000.0,0.06070120355834647,0.10508140108534783,0.11607142857142846,0.08000000000000007,0.09024918143766159,6.070120355834647,10.508140108534784,11.607142857142847,8.000000000000007,9.024918143766158,0.06070120355834647,0.10508140108534783,0.11607142857142846,0.08000000000000007,3,-1.6028268002372974,-1.0068948966884783,Inlier,0.20509999999996817,Flat
85,Jamaica,Kingston,1.67,1.975,2.137,2.3,2.5,810,150000.0,0.18263473053892226,0.08202531645569616,0.07627515208235836,0.08695652173913052,0.10612926938084,18.263473053892227,8.202531645569616,7.6275152082358355,8.695652173913052,10.612926938084,0.18263473053892226,0.08202531645569616,0.07627515208235836,0.08695652173913052,3,-1.6200644396038206,-1.008726333608918,Inlier,0.19849999999997853,Flat
86,China,Haikou,1.97,2.011,2.146,2.2,2.3,750,100000.0,0.020812182741116826,0.06713078070611625,0.025163094128611497,0.04545454545454529,0.039478240093974604,2.0812182741116825,6.713078070611625,2.51630941286115,4.545454545454529,3.9478240093974604,0.020812182741116826,0.06713078070611625,0.025163094128611497,0.04545454545454529,0,-1.5842642597291856,-0.604415541326431,Inlier,0.08489999999998847,Flat
87,China,Quanzhou,2.26,1.954,2.091,2.2,2.3,900,120000.0,-0.13539823008849552,0.0701125895598773,0.052128168340506924,0.04545454545454529,0.004395710328685132,-13.539823008849552,7.01125895598773,5.212816834050693,4.545454545454529,0.4395710328685132,-0.13539823008849552,0.0701125895598773,0.052128168340506924,0.04545454545454529,0,-1.50724855629453,-0.20457733015797874,Inlier,0.032599999999979805,Flat
88,Poland,Gdansk,1.924,2.118,2.072,2.0,2.1,1350,180000.0,0.10083160083160081,-0.021718602455146282,-0.03474903474903478,0.050000000000000044,0.02212393149301972,10.083160083160081,-2.1718602455146283,-3.4749034749034777,5.000000000000004,2.212393149301972,0.10083160083160081,-0.021718602455146282,-0.03474903474903478,0.050000000000000044,0,-1.4774381811215178,0.0019794836268571484,Inlier,0.023400000000003505,Flat
89,Turkey,Kocaeli,1.801,1.968,2.059,2.1,2.2,800,90000.0,0.0927262631871183,0.04623983739837408,0.019912578921806666,0.04761904761904766,0.05130139816996859,9.27262631871183,4.623983739837408,1.9912578921806665,4.761904761904765,5.130139816996859,0.0927262631871183,0.04623983739837408,0.019912578921806666,0.04761904761904766,0,-1.6280628117641878,-0.6949464187501736,Inlier,0.0929999999999921,Flat
90,Saudi Arabia,Dammam,1.863,1.78,2.039,2.33,2.5,1800,130000.0,-0.044551798174986564,0.14550561797752815,0.14271701814615004,0.0729613733905579,0.0762961541454068,-4.4551798174986565,14.550561797752815,14.271701814615003,7.29613733905579,7.62961541454068,-0.044551798174986564,0.14550561797752815,0.14271701814615004,0.0729613733905579,3,-1.5363349400222226,-0.35336848268730775,Inlier,0.18239999999996392,Flat
